               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.040422,             0.03726,           0.0057201,             0.86815,             0.81182,             0.88278,             0.42443,            0.039504,            0.027948,           0.0062777,            0.002318,            0.002318,            0.002318
                  77,            0.040142,            0.037528,           0.0055578,             0.86205,             0.81622,             0.87839,             0.41759,            0.039484,             0.02813,           0.0062232,           0.0022196,           0.0022196,           0.0022196
                  78,            0.039607,            0.035962,           0.0056541,             0.86669,             0.82296,             0.88787,             0.42381,            0.039355,            0.027848,           0.0066132,           0.0021245,           0.0021245,           0.0021245
                  79,            0.040155,            0.036714,           0.0055213,             0.86005,             0.81212,             0.87804,             0.41948,            0.039834,            0.028165,           0.0059888,           0.0020327,           0.0020327,           0.0020327
                  80,            0.039743,            0.036816,           0.0050535,             0.84216,             0.84647,             0.88432,             0.41667,            0.039415,            0.027912,           0.0063007,           0.0019443,           0.0019443,           0.0019443
                  81,            0.039469,            0.036856,           0.0054648,             0.89614,             0.79719,              0.8803,             0.42121,            0.039397,            0.027755,           0.0064093,           0.0018594,           0.0018594,           0.0018594
                  82,            0.039612,            0.036585,           0.0051544,             0.87932,             0.81765,             0.88119,             0.42253,             0.03939,            0.028002,           0.0062646,           0.0017781,           0.0017781,           0.0017781
                  83,            0.039489,            0.036243,           0.0051554,              0.8671,             0.83146,             0.88515,             0.42158,            0.039282,            0.027884,           0.0064904,           0.0017005,           0.0017005,           0.0017005
                  84,            0.039305,            0.036496,           0.0055086,             0.86106,             0.84053,             0.88547,              0.4222,            0.039013,            0.028016,           0.0062964,           0.0016267,           0.0016267,           0.0016267
                  85,            0.039771,            0.036385,           0.0053557,             0.88657,             0.81326,             0.88445,             0.42769,            0.038989,            0.027743,           0.0063083,           0.0015566,           0.0015566,           0.0015566
                  86,            0.039985,            0.036749,           0.0053688,             0.83107,             0.85003,             0.88171,             0.42563,            0.039141,            0.027794,            0.006121,           0.0014905,           0.0014905,           0.0014905
                  87,            0.039613,            0.036057,           0.0056437,             0.88578,             0.81347,             0.88462,             0.41979,            0.039233,            0.027778,           0.0059702,           0.0014283,           0.0014283,           0.0014283
                  88,            0.039381,            0.035663,            0.005329,             0.84089,             0.84727,             0.88202,               0.421,            0.039217,            0.027836,           0.0059312,           0.0013701,           0.0013701,           0.0013701
                  89,            0.039566,            0.036476,            0.005355,             0.87751,              0.8226,             0.88538,             0.42211,            0.039282,             0.02768,           0.0061619,            0.001316,            0.001316,            0.001316
